text,label,source,label_id
"this one's essentially closed. they want to start onboarding next month, asked about team size.",Hot,synthetic,0
Built a relationship over the last month. They like what they see but are waiting for budget cycle to open.,Warm,synthetic,1
"after reviewing your proposal, we've decided to go in a different direction. best of luck.",Cold,synthetic,2
how do I subscribe to your newsletter?,Warm,huggingface,1
"She was polite but very clear -- not interested, not now, not later. Stop reaching out",Cold,synthetic,2
can you help me speaking with somebody?,Warm,huggingface,1
I need to check the termination charge,Cold,huggingface,2
how do I see your reimbursement policy?,Cold,huggingface,2
how do I check what payment payment modalities are accepted?,Hot,huggingface,0
how can I find information about my newsletter subscription?,Warm,huggingface,1
"VP of Operations called unprompted to confirm they want to move ahead this quarter, not next.",Hot,synthetic,0
need help informing of signup issues,Warm,huggingface,1
how can i get information about my pro account deletion,Cold,huggingface,2
how do i create a standard account,Hot,huggingface,0
can you help me receive a rebate of money?,Cold,huggingface,2
still comparing pricing options,Warm,synthetic,1
I am trying to speak to somebody,Warm,huggingface,1
I want to know about unsubscribing to your newsletter,Warm,huggingface,1
i need assistance to talk with an agent,Warm,huggingface,1
how can i remove a platinum acclunt,Cold,huggingface,2
wshere do i list ur allowed payment options,Hot,huggingface,0
can you help me chatting with someone?,Warm,huggingface,1
can you help me to speak to someone?,Warm,huggingface,1
can you help me informing of errors with payment?,Hot,huggingface,0
Can't afford to keep operating without a solution -- they told us to move as fast as we can.,Hot,synthetic,0
can you help me check the compensation current status?,Cold,huggingface,2
how do i check the current status of the reimbursement,Cold,huggingface,2
"acct closing!! PO in system, needs countersig by fri or deal slips to Q2",Hot,synthetic,0
I am trying to see your payment methods,Hot,huggingface,0
Our finance team has issued the PO. Routing to your accounts team now. Please confirm receipt.,Hot,synthetic,0
can you help me see what hours I can call customer support?,Warm,huggingface,1
"No budget, no timeline, and three missed meetings. Even their champion has stopped responding.",Cold,synthetic,2
"warm prospect - saw webinar, dled whitepaper, no urgency tho. schedule follow up in 6wks",Warm,synthetic,1
I am trying to find information about opening a {{Account Type}} account,Hot,huggingface,0
how can i ask for refunds of money,Cold,huggingface,2
what do I have to do to check your reimbursement policy?,Cold,huggingface,2
help me check at what time i can call customer esrvice,Warm,huggingface,1
"I ain't registered, I need to open a {{Account Type}} account with you",Hot,huggingface,0
I am trying to lodge a complaint against your organization,Cold,huggingface,2
can you help me contacting a person?,Warm,huggingface,1
i want help making a claim against u company,Cold,huggingface,2
how can I lodge a reclamation against your business?,Cold,huggingface,2
can you help me check the acepted payment modalities?,Hot,huggingface,0
company is in the middle of a merger -- all new vendor decisions are on hold indefinitely.,Cold,synthetic,2
I am trying to obtain rebates of my money,Cold,huggingface,2
have problems with creating my standard account,Hot,huggingface,0
can you show me what payment options you accept?,Hot,huggingface,0
I don't know what to do to check the allowed payment options,Hot,huggingface,0
I need help to subscribe to your newsletter,Warm,huggingface,1
They've been shopping around for 18 months and said we're the first vendor that actually solves the problem.,Hot,synthetic,0
mentioned our competitor by name in a positive light during the call. we're in the mix but not winning yet.,Warm,synthetic,1
"Not proceeding despite having budget available. It's a strategic, not a financial, decision",Cold,synthetic,2
Fourth follow-up sent with no response. Trial account was activated but never used. Closing this,Cold,synthetic,2
how can I lodge a consumer claim against your business?,Cold,huggingface,2
can you help me checking your reimbursement policy?,Cold,huggingface,2
can ya help me seeing the refnd status,Cold,huggingface,2
"you are not helpful at all, could I contact a human agent?",Warm,huggingface,1
how can I find information about my premium account removal?,Cold,huggingface,2
The conversation has been dead on arrival since their Q4 budget cuts.,Cold,synthetic,2
i want assistance canceling my {{Account Type}} account,Cold,huggingface,2
I am trying to see the accepted payment methods,Hot,huggingface,0
refunding {{Currency Symbol}}{{Refund Amount}},Cold,huggingface,2
can you tell me what payment methods you accept?,Hot,huggingface,0
"Won't make a decision without seeing a pilot first -- reasonable ask, schedule one.",Warm,synthetic,1
I am trying to list your available payment methods,Hot,huggingface,0
how do I notify of payment problems?,Hot,huggingface,0
"This account is like a pot slowly coming to a boil -- it'll get there, just needs time.",Warm,synthetic,1
can you help me checking the termination charges?,Cold,huggingface,2
can you help me to solve an issue with payment?,Hot,huggingface,0
pricing too high not moving forward,Cold,synthetic,2
need help to check in which cases can i ask to be refunded,Cold,huggingface,2
I am trying to see the cancellation fee,Cold,huggingface,2
Won't be purchasing from you -- or anyone in this space -- this fiscal year.,Cold,synthetic,2
I am trying to check the allowed payment methods,Hot,huggingface,0
i need help to cancel a freemium account,Cold,huggingface,2
what do I have to do to create a standard account?,Hot,huggingface,0
can you help me reporting a payment problem?,Hot,huggingface,0
can ya help me contacting an operator,Warm,huggingface,1
Has executive sponsorship but the actual decision is 6 months out -- they're starting the process early.,Warm,synthetic,1
can you show me at what time I can contact customer service?,Warm,huggingface,1
where do I open a standard account for my dad?,Hot,huggingface,0
CFO personally approved the spend in yesterday's board meeting. Send PO to finance contact ASAP,Hot,synthetic,0
i have to receive the corporate newsletter could ya help me,Warm,huggingface,1
Please stop reaching out to our team. We've made our decision and it doesn't include your product.,Cold,synthetic,2
can ya help me inform of errors with online payment,Hot,huggingface,0
I have a queston about the payment,Hot,huggingface,0
We've been evaluating solutions in this space. Your product was recommended to us. Happy to learn more.,Warm,synthetic,1
can you tell me about my newsletter subscription?,Warm,huggingface,1
Interested in your platform but still aligning internally. Can we reconnect in Q3?,Warm,synthetic,1
"I have to unsubscribe to your newsletter, I need help",Warm,huggingface,1
how do I notify of a signup problem?,Warm,huggingface,1
how can i cancel the subscription to the company newsletter,Warm,huggingface,1
file consumer reclamation against ur company,Cold,huggingface,2
I am trying to talk to somebody,Warm,huggingface,1
can you show me the withdrawal penalties?,Cold,huggingface,2
can you help me sign up to the corporate newsletter?,Warm,huggingface,1
"Attended our enterprise webinar last Tuesday, asked two questions during Q&A. Worth a follow-up.",Warm,synthetic,1
how can I notify of sign-up issues?,Warm,huggingface,1
can you help me seeing the accetped payment methods?,Hot,huggingface,0
strong positive feedback after the pilot -- but they decided the switching cost wasn't worth it.,Cold,synthetic,2
Key champion left the company. His replacement has no knowledge of the evaluation and isn't interested.,Cold,synthetic,2
how can I check what payment methods are allowed?,Hot,huggingface,0
I am trying to inform of payment problems,Hot,huggingface,0
how can i check ur money back guarantee,Cold,huggingface,2
can you help me seeing what payment methods are allowed?,Hot,huggingface,0
No decision authority yet -- but actively building a proposal to present to leadership.,Warm,synthetic,1
He liked the demo but said 'we're not ready to make any decisions yet.' That's okay.,Warm,synthetic,1
I am trying to list your acceoted payment options,Hot,huggingface,0
Organization-wide software freeze due to budget cuts. They asked us not to reach out until 2027.,Cold,synthetic,2
can you help me see the accepted payment methods?,Hot,huggingface,0
how can i get information about pro account cancellations,Cold,huggingface,2
No budget approved yet -- but they've verbally committed and the CFO is fast-tracking approval this week.,Hot,synthetic,0
can you help me see in what cases can I ask to be refunded?,Cold,huggingface,2
can you help me make a clain against your business?,Cold,huggingface,2
can you help me to receive a refund?,Cold,huggingface,2
Circling but not landing. Very common mid-funnel behavior -- stay visible without being pushy.,Warm,synthetic,1
I want assistance seeing the bloody cancellation fee,Cold,huggingface,2
how can I inform of issues with online payment?,Hot,huggingface,0
They've been circling this decision for months. Last call they finally said 'let's land the plane' and asked for contracts.,Hot,synthetic,0
what do I need to do to speak to customer service?,Warm,huggingface,1
how can I inform of a payment error?,Hot,huggingface,0
help to report problems with registrations,Warm,huggingface,1
how can I notify of an error with a registration?,Warm,huggingface,1
how can i check at what time i can call customer support,Warm,huggingface,1
They've been burning money on manual processes for two years. They said 'enough is enough' and want a solution immediately.,Hot,synthetic,0
"you are not helpful at all, help to speak with an assistant",Warm,huggingface,1
We're about 6 months away from making a decision but wanted to start the research now,Warm,synthetic,1
can you help me to list your accepted payment modalities?,Hot,huggingface,0
I have problems with the deletion of my {{Account Category}} account,Cold,huggingface,2
need assistance to see your accepted payment options,Hot,huggingface,0
assistance to check your payment modalities,Hot,huggingface,0
I want to subscribe to your company newsletter,Warm,huggingface,1
can you help me seeing the cancellation charges?,Cold,huggingface,2
can you help me seeing the accepted payment options?,Hot,huggingface,0
I'm trying to check the termination fee,Cold,huggingface,2
how do I list the allowed payment methods?,Hot,huggingface,0
I am trying to check what hours I can reach customer support,Warm,huggingface,1
want help seeing at what time I can reach customer servie,Warm,huggingface,1
how can i contact customer support,Warm,huggingface,1
have a question about the deletion of my {{Account Category}} account,Cold,huggingface,2
"trial activated but low usage - check in, offer help session. potential still there",Warm,synthetic,1
how can I get infomation about my pro account cancellation?,Cold,huggingface,2
how do i notify of a sign-up error,Warm,huggingface,1
can you help me to unsubscribe to the corporate newsletter?,Warm,huggingface,1
can you help me making a complaint?,Cold,huggingface,2
"I want to track my rebate, I need assistance",Cold,huggingface,2
can you help me to see the withdrawal fees?,Cold,huggingface,2
can you help me checking your accepted payment modalities?,Hot,huggingface,0
"I paid {{Currency Symbol}}{{Refund Amount}} for an order, can you help me receive a rebate?",Cold,huggingface,2
signed off by board - all 3 execs. implementation team on standby. GO,Hot,synthetic,0
2nd call done - still exploring. said 'not now but maybe later in the yr',Warm,synthetic,1
"Competitor dropped the ball on their implementation. Client called us directly, wants to switch this month.",Hot,synthetic,0
Their manager is supportive but needs buy-in from two other departments before proceeding.,Warm,synthetic,1
help to see ur available paymnet options,Hot,huggingface,0
how to report problems with payment?,Hot,huggingface,0
I want to know more about opening a standard account,Hot,huggingface,0
keeps asking great product questions but every time i mention pricing they change the subject.,Warm,synthetic,1
"Kinda interested but told me budget is tied up through Q3. Plant seeds, harvest later.",Warm,synthetic,1
are charges for services reimbursable,Cold,huggingface,2
Never seen a prospect this ready to buy -- asking about custom enterprise tiers already.,Hot,synthetic,0
I am trying to chat with someone,Warm,huggingface,1
i want help demanding rebates of my money,Cold,huggingface,2
I have got to subscribe to the fucking newsletter,Warm,huggingface,1
where to make a relcamation against your company?,Cold,huggingface,2
"I need to check in what cases can I request refunds, help me",Cold,huggingface,2
Mid-funnel. Talking to three vendors. We're in the mix -- need to differentiate on support quality,Warm,synthetic,1
how can I get refunds of my money?,Cold,huggingface,2
"Won't reconsider, even if pricing changes. They have philosophical objections to the approach.",Cold,synthetic,2
"They're exploring the space broadly, not us specifically. Good engagement though.",Warm,synthetic,1
need assistance seeing ur available payment methods,Hot,huggingface,0
"budget unlckd, legal sign-off rcvd, just need our signature. close this TODAY",Hot,synthetic,0
They're in research mode -- gathering intelligence before making any moves. Smart buyer.,Warm,synthetic,1
Interesting product. Could you share some customer case studies relevant to our industry? No rush.,Warm,synthetic,1
the champion is interested but says the organization isn't aligned. classic internal political situation.,Warm,synthetic,1
